text,preprocess_texts,preprocess_texts_no_symboll,tokens
"هدف من پیدا کردن ایران ستیزان بود که شما رو یافتم 
حالا شما از پشت لباس پادشاهی دوست بیا بیرون چون طرفداران پادشاهی… https://t.co/ZKXhxrtVZU",هدف من پیدا کردن ایران ستیزان بود که شما رو یافتم حالا شما از پشت لباس پادشاهی دوست بیا بیرون چون طرفداران پادشاهی,هدف من پیدا کردن ایران ستیزان بود که شما رو یافتم حالا شما از پشت لباس پادشاهی دوست بیا بیرون چون طرفداران پادشاهی,"['هدف', 'من', 'پیدا', 'کردن', 'ایران', 'ستیزان', 'بود', 'که', 'شما', 'رو', 'یافتم', 'حالا', 'شما', 'از', 'پشت', 'لباس', 'پادشاهی', 'دوست', 'بیا', 'بیرون', 'چون', 'طرفداران', 'پادشاهی']"
@reise_ghabile ظهر شمام بخیر,ظهر شمام بخیر,ظهر شمام بخیر,"['ظهر', 'شمام', 'بخیر']"
دوست پسر خلبان کجا میفروخن؟,دوست پسر خلبان کجا میفروخن,دوست پسر خلبان کجا میفروخن,"['دوست', 'پسر', 'خلبان', 'کجا', 'میفروخن']"
@HoseinMr007 خب اونجا زندگی میکنیم,خب اونجا زندگی میکنیم,خب اونجا زندگی میکنیم,"['خب', 'اونجا', 'زندگی', 'میکنیم']"
RT @debianstable1: صبحا که میخوان منو از خواب بیدار کنن... https://t.co/ZOLx1KOqTW,صبحا که میخوان منو از خواب بیدار کنن,صبحا که میخوان منو از خواب بیدار کنن,"['صبحا', 'که', 'میخوان', 'منو', 'از', 'خواب', 'بیدار', 'کنن']"
@setarehmibasham دقیقا همینطوره,دقیقا همینطوره,دقیقا همینطوره,"['دقیقا', 'همینطوره']"
@lavenderr94 خیلی بی انصافی😂😂,خیلی بی انصافی,خیلی بی انصافی,"['خیلی', 'بی', 'انصافی']"
"RT @Ftm_Jahani: #صداوسيما پاسخ گو باشد
برای رفتار غیر اخلاقی کارشناس آقای خسروی چه دارید بگویید؟
در خصوص این اهانت باید از اقای #سعید_محمد…",صداوسيما پاسخ گو باشدبرای رفتار غیر اخلاقی کارشناس آقای خسروی چه دارید بگوییددر خصوص این اهانت باید از اقای  سعید محمد,صداوسيما پاسخ گو باشدبرای رفتار غیر اخلاقی کارشناس آقای خسروی چه دارید بگوییددر خصوص این اهانت باید از اقای  سعید محمد,"['صداوسيما', 'پاسخ', 'گو', 'باشدبرای', 'رفتار', 'غیر', 'اخلاقی', 'کارشناس', 'آقای', 'خسروی', 'چه', 'دارید', 'بگوییددر', 'خصوص', 'این', 'اهانت', 'باید', 'از', 'اقای', 'سعید', 'محمد']"
"نمیدونم چندمین رای میشه
I vote #Dynamite for #BestMusicVideo at the #iHeartAwards 
@BTS_twt",نمیدونم چندمین رای میشهi voe  dynamie fo  besmusicvideo a he  iheaawads,نمیدونم چندمین رای میشهi voe  dynamie fo  besmusicvideo a he  iheaawads,"['نمیدونم', 'چندمین', 'رای', 'میشهi', 'voe', 'dynamie', 'fo', 'besmusicvideo', 'a', 'he', 'iheaawads']"
@marikaia88 @exoonearewe ریپلایم خودشو کشت ولی نیومد...,ریپلایم خودشو کشت ولی نیومد,ریپلایم خودشو کشت ولی نیومد,"['ریپلایم', 'خودشو', 'کشت', 'ولی', 'نیومد']"
"RT @Mozafari_hadi70: از جهت وجه خارجی هم انتخابات و مشارکت مردم نشان دهنده اقتدار ملی است.
#دیار_صددرصد_رای_آری",از جهت وجه خارجی هم انتخابات و مشارکت مردم نشان دهنده اقتدار ملی است دیار صددرصد رای آری,از جهت وجه خارجی هم انتخابات و مشارکت مردم نشان دهنده اقتدار ملی است دیار صددرصد رای آری,"['از', 'جهت', 'وجه', 'خارجی', 'هم', 'انتخابات', 'و', 'مشارکت', 'مردم', 'نشان', 'دهنده', 'اقتدار', 'ملی', 'است', 'دیار', 'صددرصد', 'رای', 'آری']"
"RT @sarbazetwitt: فوری
دکتر #سعید_محمد طی تماس تلفنی از #سعید_جلیلی جهت ثبت نام در انتخابات دعوت بعمل آورد. https://t.co/9NkIFcfwEH",فوریدکتر  سعید محمد طی تماس تلفنی از  سعید جلیلی جهت ثبت نام در انتخابات دعوت بعمل آورد,فوریدکتر  سعید محمد طی تماس تلفنی از  سعید جلیلی جهت ثبت نام در انتخابات دعوت بعمل آورد,"['فوریدکتر', 'سعید', 'محمد', 'طی', 'تماس', 'تلفنی', 'از', 'سعید', 'جلیلی', 'جهت', 'ثبت', 'نام', 'در', 'انتخابات', 'دعوت', 'بعمل', 'آورد']"
"@parissa_all خارجیا یه ضرب المثلی دارن میگه:
One man's trash is another man's treasure
یعنی گاها چیزی که برای کسی آ… https://t.co/IEUaWDUzCM",خارجیا یه ضرب المثلی دارن میگهone mans ash is anohe mans easueیعنی گاها چیزی که برای کسی آ,خارجیا یه ضرب المثلی دارن میگهone mans ash is anohe mans easueیعنی گاها چیزی که برای کسی آ,"['خارجیا', 'یه', 'ضرب', 'المثلی', 'دارن', 'میگهone', 'mans', 'ash', 'is', 'anohe', 'mans', 'easueیعنی', 'گاها', 'چیزی', 'که', 'برای', 'کسی', 'آ']"
با چراغی همه جا گشتم وگشتم در شهر هیچ کس ... هیچ کس اینجا به تو مانند نشد #وحدت_برای_مردم #دوباره_ایثار #قالیباف https://t.co/zMPCx2GmlV,با چراغی همه جا گشتم وگشتم در شهر هیچ کس  هیچ کس اینجا به تو مانند نشد  وحدت برای مردم  دوباره ایثار  قالیباف,با چراغی همه جا گشتم وگشتم در شهر هیچ کس  هیچ کس اینجا به تو مانند نشد  وحدت برای مردم  دوباره ایثار  قالیباف,"['با', 'چراغی', 'همه', 'جا', 'گشتم', 'وگشتم', 'در', 'شهر', 'هیچ', 'کس', 'هیچ', 'کس', 'اینجا', 'به', 'تو', 'مانند', 'نشد', 'وحدت', 'برای', 'مردم', 'دوباره', 'ایثار', 'قالیباف']"
@aliolfatpour @AliShamsipur من که نفهمیدم,من که نفهمیدم,من که نفهمیدم,"['من', 'که', 'نفهمیدم']"
"@elyas_ghanbari1 من اگه جای شورای نگهبان بودم
از اینم استصوابی‌تر بودم😒",من اگه جای شورای نگهبان بودماز اینم استصوابی‌تر بودم,من اگه جای شورای نگهبان بودماز اینم استصوابیتر بودم,"['من', 'اگه', 'جای', 'شورای', 'نگهبان', 'بودماز', 'اینم', 'استصوابیتر', 'بودم']"
@erfanp_g مال این حرفایی؟؟,مال این حرفایی,مال این حرفایی,"['مال', 'این', 'حرفایی']"
"RT @amin_km12: به جای توئیتهای #فلانی_بیا کاش توئیت میزدید آقا بیا...
#يا_صاحب_الزمان",به جای توئیتهای  فلانی بیا کاش توئیت میزدید آقا بیا يا صاحب الزمان,به جای توئیتهای  فلانی بیا کاش توئیت میزدید آقا بیا يا صاحب الزمان,"['به', 'جای', 'توئیتهای', 'فلانی', 'بیا', 'کاش', 'توئیت', 'میزدید', 'آقا', 'بیا', 'يا', 'صاحب', 'الزمان']"
"@Zed___Pcy @weareoneEXO @B_hundred_Hyun @layzhang تلگرام ندارم، شرمنده ام💖

#EXO
@weareoneEXO
@B_hundred_Hyun
@layzhang",تلگرام ندارم شرمنده ام exo,تلگرام ندارم شرمنده ام exo,"['تلگرام', 'ندارم', 'شرمنده', 'ام', 'exo']"
"RT @khale_pesar_org: فرد اصلح کشور و رئیس جمهور آینده 
#رئیسی_آمد https://t.co/6lPPqPVuiM",فرد اصلح کشور و رئیس جمهور آینده  رئیسی آمد,فرد اصلح کشور و رئیس جمهور آینده  رئیسی آمد,"['فرد', 'اصلح', 'کشور', 'و', 'رئیس', 'جمهور', 'آینده', 'رئیسی', 'آمد']"
"RT @Asayesh176: ما براندازان، شاید نظرات مختلفی داشته باشیم اما حرف آخرمان یکی است ، 
و آن هم  
  #نه_به_جمهوری_اسلامی 
است 
و اکنون میگویم…",ما براندازان شاید نظرات مختلفی داشته باشیم اما حرف آخرمان یکی است  و آن هم   نه به جمهوری اسلامی است و اکنون میگویم,ما براندازان شاید نظرات مختلفی داشته باشیم اما حرف آخرمان یکی است  و آن هم   نه به جمهوری اسلامی است و اکنون میگویم,"['ما', 'براندازان', 'شاید', 'نظرات', 'مختلفی', 'داشته_باشیم', 'اما', 'حرف', 'آخرمان', 'یکی', 'است', 'و', 'آن', 'هم', 'نه', 'به', 'جمهوری', 'اسلامی', 'است', 'و', 'اکنون', 'میگویم']"
@Atiyeh19489181 پس چی بگیرم برات حالت خوب شه,پس چی بگیرم برات حالت خوب شه,پس چی بگیرم برات حالت خوب شه,"['پس', 'چی', 'بگیرم', 'برات', 'حالت', 'خوب', 'شه']"
حتی حیوونام دچار اختلالات شناختی میشن و حقیقتا پشمام,حتی حیوونام دچار اختلالات شناختی میشن و حقیقتا پشمام,حتی حیوونام دچار اختلالات شناختی میشن و حقیقتا پشمام,"['حتی', 'حیوونام', 'دچار', 'اختلالات', 'شناختی', 'میشن', 'و', 'حقیقتا', 'پشمام']"
@N0OGHTE چقدر خشن :))) چی میشه انگلیسیش؟,چقدر خشن  چی میشه انگلیسیش,چقدر خشن  چی میشه انگلیسیش,"['چقدر', 'خشن', 'چی', 'میشه', 'انگلیسیش']"
سخت ترین انتظار انتظار برای پیک غذاس.,سخت ترین انتظار انتظار برای پیک غذاس,سخت ترین انتظار انتظار برای پیک غذاس,"['سخت', 'ترین', 'انتظار', 'انتظار', 'برای', 'پیک', 'غذاس']"
@herosuhi خدا نکنه,خدا نکنه,خدا نکنه,"['خدا', 'نکنه']"
RT @Bhnam04836547: @ShakouryR همه مدعیان برعلیه دکتر احمدینژاد غلط میکنند,همه مدعیان برعلیه دکتر احمدینژاد غلط میکنند,همه مدعیان برعلیه دکتر احمدینژاد غلط میکنند,"['همه', 'مدعیان', 'برعلیه', 'دکتر', 'احمدینژاد', 'غلط', 'میکنند']"
@jadogareshahrOZ @SamanthaIrani حکومت ج.ا. ازمردمش جدا هست اگر اسرائیل فراخوان سرباز ورزمنده ازایرانیان بدهد بیشترا… https://t.co/vfc5HryM7R,حکومت جا ازمردمش جدا هست اگر اسرائیل فراخوان سرباز ورزمنده ازایرانیان بدهد بیشترا,حکومت جا ازمردمش جدا هست اگر اسرائیل فراخوان سرباز ورزمنده ازایرانیان بدهد بیشترا,"['حکومت', 'جا', 'ازمردمش', 'جدا', 'هست', 'اگر', 'اسرائیل', 'فراخوان', 'سرباز', 'ورزمنده', 'ازایرانیان', 'بدهد', 'بیشترا']"
@FarSarih مطمین باشه چون میدانی نیست نمیتونه باندازه سعید محمد کارا باشه، بعد چهار سال دوباره اصلاح طلبا سرو کله شو… https://t.co/tpGbOJhrdm,مطمین باشه چون میدانی نیست نمیتونه باندازه سعید محمد کارا باشه بعد چهار سال دوباره اصلاح طلبا سرو کله شو,مطمین باشه چون میدانی نیست نمیتونه باندازه سعید محمد کارا باشه بعد چهار سال دوباره اصلاح طلبا سرو کله شو,"['مطمین', 'باشه', 'چون', 'میدانی', 'نیست', 'نمیتونه', 'باندازه', 'سعید', 'محمد', 'کارا', 'باشه', 'بعد', 'چهار', 'سال', 'دوباره', 'اصلاح', 'طلبا', 'سرو', 'کله', 'شو']"
"فراخوان «عرضه محصولات فرهنگی و آموزشی در کتاب فروشی معمار نیوز»

 لذا از کلیه اشخاص حقیقی و حقوقی از جمله ناشرین، م… https://t.co/8C8srOR8F7",فراخوان «عرضه محصولات فرهنگی و آموزشی در کتاب فروشی معمار نیوز» لذا از کلیه اشخاص حقیقی و حقوقی از جمله ناشرین م,فراخوان «عرضه محصولات فرهنگی و آموزشی در کتاب فروشی معمار نیوز» لذا از کلیه اشخاص حقیقی و حقوقی از جمله ناشرین م,"['فراخوان', '«', 'عرضه', 'محصولات', 'فرهنگی', 'و', 'آموزشی', 'در', 'کتاب', 'فروشی', 'معمار', 'نیوز', '»', 'لذا', 'از', 'کلیه', 'اشخاص', 'حقیقی', 'و', 'حقوقی', 'از', 'جمله', 'ناشرین', 'م']"
"RT @GhazalSouri: مژده دهید باغ را...!😍
#سلام_بر_ابراهیم https://t.co/FaOrfxbwj5",مژده دهید باغ را سلام بر ابراهیم,مژده دهید باغ را سلام بر ابراهیم,"['مژده', 'دهید', 'باغ', 'را', 'سلام', 'بر', 'ابراهیم']"
"@azarijahromi پرسپولیسی ام
اما بهت میگم بی ادب",پرسپولیسی اماما بهت میگم بی ادب,پرسپولیسی اماما بهت میگم بی ادب,"['پرسپولیسی', 'اماما', 'بهت', 'میگم', 'بی', 'ادب']"
"RT @exo_l1386: @ifzliweri @weareoneEXO @B_hundred_Hyun @layzhang اولا سلامممممممم موزی قشنگممممممم
دوما منم همین فکرو میکنم
باور کن از وقتی…",اولا سلامممممممم موزی قشنگمممممممدوما منم همین فکرو میکنمباور کن از وقتی,اولا سلامممممممم موزی قشنگمممممممدوما منم همین فکرو میکنمباور کن از وقتی,"['اولا', 'سلامممممممم', 'موزی', 'قشنگمممممممدوما', 'منم', 'همین', 'فکرو', 'میکنمباور', 'کن', 'از', 'وقتی']"
RT @raesi_org: بانیان و شرکای وضع موجود نمی‌توانند تغییردهنده وضعیت فعلی باشند.,بانیان و شرکای وضع موجود نمی‌توانند تغییردهنده وضعیت فعلی باشند,بانیان و شرکای وضع موجود نمیتوانند تغییردهنده وضعیت فعلی باشند,"['بانیان', 'و', 'شرکای', 'وضع', 'موجود', 'نمیتوانند', 'تغییردهنده', 'وضعیت', 'فعلی', 'باشند']"
@nima_1991 اهووووم،اصن ارامش زندگی تو همین خلاصه میشه,اهووووماصن ارامش زندگی تو همین خلاصه میشه,اهووووماصن ارامش زندگی تو همین خلاصه میشه,"['اهووووماصن', 'ارامش', 'زندگی', 'تو', 'همین', 'خلاصه', 'میشه']"
