,vocabulary
0,a
1,aack
2,accessoy
3,ae
4,afd
5,afe
6,ai
7,always
8,am
9,andeas
10,anohe
11,anosmiaی
12,aqsacallsamiesلبیک
13,as
14,ash
15,awake
16,awakedon
17,azebaycan
18,b
19,baekhyun
20,bbmaso
21,bbmasopsocial
22,beauiful
23,been
24,besfanamy
25,besly
26,besmusicvide
27,besmusicvideo
28,blink
29,bohe
30,bs
31,bsamy
32,by
33,cadigan
34,ch
35,chanyeol
36,chen
37,cogniive
38,coinی
39,coming
40,covid
41,coywolf
42,cypocuency
43,cywide
44,deby
45,dff
46,dislike
47,doğusu
48,dugs
49,dynami
50,dynamie
51,dysgeusia
52,eac
53,eamallalch
54,easueیعنی
55,embaassing
56,ex
57,exo
58,f
59,fahe
60,favec
61,feeling
62,feepalasine
63,feepalesin
64,feepalesine
65,feeze
66,figh
67,flipd
68,fo
69,fozen
70,ga
71,gaza
72,ghezava
73,go
74,good
75,goodbye
76,h
77,hamaseoiss
78,he
79,heapy
80,huffazeducaionsysempakisan
81,hybe
82,i
83,iaf
84,ian
85,ianegimechang
86,idf
87,ihea
88,iheaawa
89,iheaawad
90,iheaawads
91,iheaawadsبه
92,iheaawadsخب
93,iheaawads︎
94,im
95,imezone
96,insigh
97,ipoliicalpisonesvoice
98,is
99,isael
100,isaeleoism
101,isaelundeaack
102,iso
103,i’m
104,jin
105,jinyou
106,jus
107,k
108,kabul
109,kai
110,kalheinz
111,keep
112,kو
113,lgb
114,like
115,louies
116,love
117,m
118,maic
119,mans
120,may
121,medaine
122,meme
123,mmmh
124,momen
125,much
126,mبسی
127,mرئیسی
128,mسلام
129,mشدن
130,mمردی
131,nakba
132,newpofilepic
133,nine
134,np
135,o
136,ohlig
137,ohsas
138,on
139,one
140,onediecion
141,oxygen
142,oxygenاگاسه‌ای
143,pain
144,palesine
145,peacefopalesineandisael
146,pefec
147,pepela
148,pgسب
149,plخوب
150,poec
151,ps
152,q
153,qwey
154,sa
155,saba
156,sabahunge
157,sabahunges
158,sabahungesik
159,sabahungesike
160,sabahungesikeحقیقت
161,sabahungesikeزندانیان
162,sabahungesikeصبای
163,sabahungesikeفقط
164,san
165,saveafkaibohes
166,sehun
167,selfpoaiweekendseaming
168,skyim
169,social
170,sol
171,soloiskimhanbin
172,son
173,soon
174,sopkillingbalochs
175,ssd
176,suho
177,supejunio
178,unde
179,up
180,us
181,va
182,vedes
183,voe
184,voed
185,voes
186,voing
187,vs
188,waemelonsuga
189,we
190,weaeafghanisan
191,weaeoneexo
192,whee
193,whieupising
194,wice
195,wide
196,wold
197,x
198,yanim
199,you
200,«
201,»
202,؛
203,آ
204,آاا
205,آب
206,آبا
207,آباد
208,آبادان
209,آبادی
210,آبان
211,آبروش
212,آبکش
213,آبکی
214,آبی
215,آبیه
216,آب‌هویج‌بستنی
217,آب‌کشی
218,آتش
219,آتلیه
220,آتی
221,آتیشه
222,آتیشی
223,آثار
224,آثارش
225,آحاد
226,آخ
227,آخر
228,آخرت
229,آخرریپی
230,آخرش
231,آخرشم
232,آخرم
233,آخرمان
234,آخری
235,آخه
236,آخهولی
237,آخوند
238,آخوندا
239,آخوندی
240,آخوندیاگه
241,آخوندیمردمی
242,آخی
243,آدرس
244,آدم
245,آدما
246,آدمان
247,آدمای
248,آدمتو
249,آدممpeople
250,آدمه
251,آدمهای
252,آدمو
253,آدمکش
254,آدمکها
255,آدمی
256,آدمیزاد
257,آدم‌ربایان
258,آدم‌هایی
259,آذر
260,آذربایجان
261,آذربایجانی‌ها
262,آذری
263,آر
264,آرا
265,آراء
266,آراسته‌اند
267,آرامبخش
268,آرامش
269,آرامشش
270,آرامشی
271,آران
272,آرای
273,آرایش
274,آررووم
275,آرزو
276,آرزوست
277,آرزوش
278,آرزوهای
279,آرزوی
280,آرسناله
281,آرمان
282,آرمانهایشان
283,آرمی
284,آرمیi
285,آرند
286,آره
287,آروان
288,آروم
289,آرومه
290,آروم‌تر
291,آروین
292,آری
293,آریا
294,آریامهر
295,آز
296,آزا
297,آزاد
298,آزادسازی
299,آزادش
300,آزاده
301,آزاده‌ای
302,آزادگی
303,آزادی
304,آزادیخواهان
305,آزادیه
306,آزادیهطاقت
307,آزادی‌خواه
308,آزادی‌خواهانه‌ی
309,آزادی‌های
310,آزار
311,آزرده
312,آزمایشی
313,آزمون
314,آسان
315,آسای
316,آسایش
317,آستان
318,آستانه
319,آستین
320,آسفالت
321,آسمان
322,آسمون
323,آسمونا
324,آسوده
325,آسوشیتدپرس
326,آسون‌تر
327,آسیا
328,آسیایی
329,آسیب
330,آسیب‌های
331,آسیب‌پذیر
332,آش
333,آشفته
334,آشفته‌حال
335,آشفتگی
336,آشنا
337,آشناست
338,آشنامولی
339,آشنایی
340,آشوب
341,آشکار
342,آشکارا
343,آشکاری
344,آشی
345,آغاز
346,آغازگر
347,آغازی
348,آغوش
349,آغوشم
350,آف
351,آفاق
352,آفت
353,آفتابشبکشد
354,آفتابی
355,آفرید
356,آفریده
357,آفریقا
358,آفرین
359,آفرینهمینجوری
360,آفرینی
361,آق
362,آقا
363,آقاتهرا
364,آقاتی
365,آقاخوابی
366,آقازادگی
367,آقامح
368,آقامحس
369,آقاهه
370,آقایان
371,آقایانی
372,آقایون
373,آقایی
374,آقتی
375,آقل
376,آل
377,آلارم
378,آلبو
379,آلبوم
380,آلما
381,آلمان
382,آلوده
383,آم
384,آماده
385,آماده_است
386,آماده_باشند
387,آماده_می‌شود
388,آمادگی
389,آمار
390,آمارشو
391,آمار‌ه
392,آمدآمد
393,آمداز
394,آمدالحمدلله
395,آمداما
396,آمدبه
397,آمدبچه‌ها
398,آمدجبهه‌ی
399,آمدخادمی
400,آمدخوش
401,آمددکتر
402,آمدرئیسی
403,آمدعشق
404,آمدفقط
405,آمدم
406,آمدمشکلاتمون
407,آمدمناظرات
408,آمدن
409,آمدنت
410,آمدند
411,آمدنش
412,آمدنم
413,آمدن‌فردی
414,آمده_بود
415,آمدهشما
416,آمده‌ام
417,آمده‌اند
418,آمده‌ای
419,آمده‌ایم
420,آمدی
421,آمدیبه
422,آمدید
423,آمدیم
424,آمریکا
425,آمریکاو
426,آمریکایی
427,آمریکایی‌ها
428,آمستردام
429,آموزان
430,آموزش
431,آموزشگاه
432,آموزشی
433,آموزنده
434,آمپول
435,آمین
436,آنتی‌بادی
437,آنست
438,آنشب
439,آنفالو
440,آنفالووم
441,آنهاست
442,آنهم
443,آنچنانی
444,آنچین
445,آنک
446,آنگاه
447,آن‌ها
448,آن‌چنان
449,آن‌چه
450,آن‌که
451,آه
452,آها
453,آهان
454,آهای
455,آهسته
456,آهنربای
457,آهنگ
458,آهنگاش
459,آهنگای
460,آهنگش
461,آهنگ‌ست
462,آهنی
463,آهنین
464,آهنینشنیده
465,آهی
466,آواتار
467,آواتارت
468,آوردم
469,آوردمسافت
470,آوردن
471,آوردنشون
472,آورده
473,آوردین
474,آورین
475,آویز
476,آویزان
477,آپ
478,آپا
479,آپارتاید
480,آپارتایدی
481,آپلودش
482,آچمیسیز
483,آکادمی
484,آگاه
485,آگاهی
486,آگیا
487,آی
488,آیت
489,آیت‌الله
490,آید
491,آیدا
492,آیدل
493,آیدلتونه
494,آیدی
495,آیدیش
496,آیدیشو
497,آیفون
498,آیندش
499,آینده
500,آینده‌نگری
501,آینده◾طالبان
502,آیندگان
503,آینه
504,آیه
505,آیپی
506,آیکان
507,آیگو
508,آیی
509,آیینه
510,أبناء
511,أفی
512,أمرتما
513,إسراءیل
514,إسرائیل
515,إنما
516,إن‌شاالله
517,ئه‌زیزی
518,ا
519,ائتلافاتون
520,ائلیر
521,ائلیربیزی
522,ائوده
523,اا
524,اب
525,اباد
526,اباصالح
527,ابتدای
528,ابتدایی
529,ابتلا
530,ابتکارات
531,ابجی
532,ابد
533,ابدار
534,ابداز
535,ابداع
536,ابرا
537,ابراز
538,ابراهیم
539,ابراهیمی
540,ابراهیمیبت
541,ابرها
542,ابرهای
543,ابری
544,ابزاری
545,ابزاریه
546,ابعاد
547,ابلاغ
548,ابلفض
549,ابله
550,ابلهی
551,ابلیس
552,ابو
553,ابولقاسم
554,اتاقش
555,اتاق‌خواب
556,اتحاد
557,اتحادیه
558,اتریش
559,اتش
560,اتفاق
561,اتفاقا
562,اتفاقات
563,اتفاقاتی
564,اتفاقاشجاعی
565,اتفاقن
566,اتفاقی
567,اتم
568,اتمام
569,اتنیکی
570,اتهام
571,اتهام‌های
572,اتو
573,اتون
574,اتک
575,اتکا
576,اتیش
577,اثابت
578,اثبات
579,اثرگذاری
580,اثری
581,اثنی
582,اجابت
583,اجارهزندگی
584,اجازه
585,اجباری
586,اجباریبالاتر
587,اجتماع
588,اجتماعی
589,اجتماعیحقوق
590,اجدادی
591,اجرام
592,اجرای
593,اجرایی
594,اجرکم
595,اجماع
596,اجمالی
597,اجمعین
598,احادیث
599,احاطه
600,احترام
601,احترامی
602,احتمال
603,احتمالا
604,احتمالی
605,احتکار
606,احتیاج
607,احدی
608,احراز
609,احزاب
610,احساس
611,احساساتش
612,احساسم
613,احساسه
614,احساسی
615,احساسیتوییت
616,احسن
617,احسنت
618,احمد
619,احمدالحسن
620,احمدشاه
621,احمدی
622,احمدینژاد
623,احمدی‌نژ
624,احمدی‌نژاد
625,احمدی‌نژاده
626,احمق
627,احمقانه
628,احمقانه‌تر
629,احمقی
630,احکام
631,احیا
632,احیانا
633,احیای
634,اخ
635,اخبار
636,اخبارهای
637,اختراع
638,اختراعاتش
639,اختصاصی
640,اختلاس
641,اختلاف
642,اختلافمون
643,اختلالات
644,اختیار
645,اختیارات
646,اختیارتون
647,اخذ
648,اخر
649,اخراج
650,اخرش
651,اخرکی
652,اخرین
653,اخطار
654,اخلاص
655,اخلاق
656,اخلاقش
657,اخلاقن
658,اخلاقی
659,اخه
660,اخهبلاخره
