,text
0,"هدف من پیدا کردن ایران ستیزان بود که شما رو یافتم 
حالا شما از پشت لباس پادشاهی دوست بیا بیرون چون طرفداران پادشاهی… https://t.co/ZKXhxrtVZU"
1,@reise_ghabile ظهر شمام بخیر
2,دوست پسر خلبان کجا میفروخن؟
3,@HoseinMr007 خب اونجا زندگی میکنیم
4,RT @debianstable1: صبحا که میخوان منو از خواب بیدار کنن... https://t.co/ZOLx1KOqTW
5,@setarehmibasham دقیقا همینطوره
6,@lavenderr94 خیلی بی انصافی😂😂
7,"RT @Ftm_Jahani: #صداوسيما پاسخ گو باشد
برای رفتار غیر اخلاقی کارشناس آقای خسروی چه دارید بگویید؟
در خصوص این اهانت باید از اقای #سعید_محمد…"
8,"نمیدونم چندمین رای میشه
I vote #Dynamite for #BestMusicVideo at the #iHeartAwards 
@BTS_twt"
9,@marikaia88 @exoonearewe ریپلایم خودشو کشت ولی نیومد...
10,"RT @Mozafari_hadi70: از جهت وجه خارجی هم انتخابات و مشارکت مردم نشان دهنده اقتدار ملی است.
#دیار_صددرصد_رای_آری"
11,"RT @sarbazetwitt: فوری
دکتر #سعید_محمد طی تماس تلفنی از #سعید_جلیلی جهت ثبت نام در انتخابات دعوت بعمل آورد. https://t.co/9NkIFcfwEH"
12,"@parissa_all خارجیا یه ضرب المثلی دارن میگه:
One man's trash is another man's treasure
یعنی گاها چیزی که برای کسی آ… https://t.co/IEUaWDUzCM"
13,با چراغی همه جا گشتم وگشتم در شهر هیچ کس ... هیچ کس اینجا به تو مانند نشد #وحدت_برای_مردم #دوباره_ایثار #قالیباف https://t.co/zMPCx2GmlV
14,@Humanitarian003 @JKDubai1 @malihadubai @Alka_pam_kawa @_Jasmine001 @JamilBathaa @fihlc @Defender_747… https://t.co/ZWwOImo5GC
15,@aliolfatpour @AliShamsipur من که نفهمیدم
16,"@elyas_ghanbari1 من اگه جای شورای نگهبان بودم
از اینم استصوابی‌تر بودم😒"
17,@erfanp_g مال این حرفایی؟؟
18,"RT @amin_km12: به جای توئیتهای #فلانی_بیا کاش توئیت میزدید آقا بیا...
#يا_صاحب_الزمان"
19,"@Zed___Pcy @weareoneEXO @B_hundred_Hyun @layzhang تلگرام ندارم، شرمنده ام💖

#EXO
@weareoneEXO
@B_hundred_Hyun
@layzhang"
20,"RT @khale_pesar_org: فرد اصلح کشور و رئیس جمهور آینده 
#رئیسی_آمد https://t.co/6lPPqPVuiM"
21,"RT @Asayesh176: ما براندازان، شاید نظرات مختلفی داشته باشیم اما حرف آخرمان یکی است ، 
و آن هم  
  #نه_به_جمهوری_اسلامی 
است 
و اکنون میگویم…"
22,@Atiyeh19489181 پس چی بگیرم برات حالت خوب شه
23,حتی حیوونام دچار اختلالات شناختی میشن و حقیقتا پشمام
24,@N0OGHTE چقدر خشن :))) چی میشه انگلیسیش؟
25,سخت ترین انتظار انتظار برای پیک غذاس.
26,@herosuhi خدا نکنه
27,RT @Bhnam04836547: @ShakouryR همه مدعیان برعلیه دکتر احمدینژاد غلط میکنند
28,@jadogareshahrOZ @SamanthaIrani حکومت ج.ا. ازمردمش جدا هست اگر اسرائیل فراخوان سرباز ورزمنده ازایرانیان بدهد بیشترا… https://t.co/vfc5HryM7R
29,@FarSarih مطمین باشه چون میدانی نیست نمیتونه باندازه سعید محمد کارا باشه، بعد چهار سال دوباره اصلاح طلبا سرو کله شو… https://t.co/tpGbOJhrdm
30,"فراخوان «عرضه محصولات فرهنگی و آموزشی در کتاب فروشی معمار نیوز»

 لذا از کلیه اشخاص حقیقی و حقوقی از جمله ناشرین، م… https://t.co/8C8srOR8F7"
31,"RT @GhazalSouri: مژده دهید باغ را...!😍
#سلام_بر_ابراهیم https://t.co/FaOrfxbwj5"
32,"@azarijahromi پرسپولیسی ام
اما بهت میگم بی ادب"
33,"RT @exo_l1386: @ifzliweri @weareoneEXO @B_hundred_Hyun @layzhang اولا سلامممممممم موزی قشنگممممممم
دوما منم همین فکرو میکنم
باور کن از وقتی…"
34,RT @raesi_org: بانیان و شرکای وضع موجود نمی‌توانند تغییردهنده وضعیت فعلی باشند.
35,@nima_1991 اهووووم،اصن ارامش زندگی تو همین خلاصه میشه
